338;1F604
4FF;1F4D7
500;1F4D8
501;1F4D9
545;1F4D3
547;1F4D4
54F;1F4D2
503;1F4DA
546;1F4D6
B8F;1F516
504;1F4DB
822;1F4F0
804;1F3A8
808;1F3AC
800;1F3A4
803;1F3A7
81A;1F3BC
813;1F3B5
814;1F3B6
817;1F3B9
819;1F3BB
818;1F3BA
815;1F3B7
816;1F3B8
1B1;1F47E
80A;1F3AE
812;1F0CF
811;1F3B4
80B;1F004
80F;1F3B2
80C;1F3AF
7DD;1F3C8
7D6;1F3C0
7D4;26BD
7D1;26BE
7D3;1F3BE
80E;1F3B1
810;1F3B3
7D2;26F3
7D7;1F3C1
7DB;1F3C6
7D5;1F3BF
7D8;1F3C2
7DE;1F3CA
7DA;1F3C4
7FF;1F3A3
981;2615
984;1F375
985;1F376
983;1F37A
987;1F37B
982;1F378
988;1F379
986;1F377
980;1F374
975;1F355
960;1F354
967;1F35F
976;1F357
972;1F356
96B;1F35D
96C;1F35B
97F;1F364
96F;1F371
96E;1F363
973;1F365
961;1F359
969;1F358
96A;1F35A
963;1F35C
970;1F372
96D;1F362
968;1F361
965;1F373
964;1F35E
978;1F369
97D;1F36E
966;1F366
977;1F368
971;1F367
511;1F382
962;1F370
979;1F36A
97A;1F36B
97B;1F36C
97C;1F36D
97E;1F36F
051;1F34E
05B;1F34F
052;1F34A
04F;1F352
059;1F347
054;1F349
053;1F353
05A;1F351
057;1F348
050;1F34C
058;1F34D
974;1F360
056;1F346
055;1F345
04A;1F33D
82E;31
82F;32
830;33
831;34
832;35
833;36
834;37
835;38
836;39
837;30
83B;1F51F
B7E;1F522
82C;23
B7F;1F523
AF8;2B06
AF9;2B07
AFB;2B05
AFA;27A1
B7C;1F520
B7D;1F521
B80;1F524
AF0;2197
AF2;2196
AF1;2198
AF3;2199
AF6;2194
AF7;2195
AFD;25C0
AFC;25B6
B01;1F53C
B00;1F53D
B83;21A9
B88;21AA
B47;2139
AFF;23EA
AFE;23E9
B03;23EB
B02;23EC
AF5;2935
AF4;2934
B27;1F197
B36;1F195
B37;1F199
B38;1F192
B21;1F193
B28;1F196
838;1F4F6
802;1F3A6
B24;1F201
B40;1F22F
B2F;1F233
B31;1F235
B30;1F234
B2E;1F232
B3D;1F250
B3E;1F239
B41;1F23A
B39;1F236
B3A;1F21A
506;1F6BB
B33;1F6B9
B34;1F6BA
B35;1F6BC
508;1F6BE
7F6;1F17F
B20;267F
B1F;1F6AD
B3B;1F237
B3C;1F238
B3F;1F202
7E1;24C2
B50;1F251
B2B;3299
B43;3297
B84;1F191
B4F;1F198
B81;1F194
B48;1F6AB
B25;1F51E
B26;26D4
B62;2733
B77;2747
B46;274E
B4A;2705
B61;2734
B19;1F49F
B32;1F19A
839;1F4F3
83A;1F4F4
50B;1F170
50C;1F171
50D;1F18E
50E;1F17E
B55;1F4A0
82B;27BF
B2C;267B
02B;2648
02C;2649
02D;264A
02E;264B
02F;264C
030;264D
031;264E
032;264F
033;2650
034;2651
035;2652
036;2653
037;26CE
4F8;1F52F
4B6;1F3E7
4DF;1F4B9
4E0;1F4B2
4DE;1F4B1
B29;A9
B2D;AE
B2A;2122
81B;303D
B07;3030
B42;1F51D
01A;1F51A
B8E;1F519
019;1F51B
018;1F51C
B45;274C
B44;2B55
B04;2757
B09;2753
B0B;2755
B0A;2754
B91;1F503
029;1F55B
01E;1F550
01F;1F551
020;1F552
021;1F553
022;1F554
023;1F555
024;1F556
025;1F557
026;1F558
027;1F559
028;1F55A
B53;2716
B51;2795
B52;2796
B54;2797
B1B;2660
B1A;2665
B1D;2663
B1C;2666
B7A;1F4AE
B7B;1F4AF
B49;2714
B8B;2611
B8C;1F518
B4B;1F517
B08;27B0
4D2;1F531
BA3;1F532
B67;1F533
B72;25FC
B71;25FB
B70;25FE
B6F;25FD
B6E;25AA
B6D;25AB
B78;1F53A
B6B;2B1C
B6C;2B1B
B66;26AB
B65;26AA
B63;1F534
B64;1F535
B79;1F53B
B73;1F536
B74;1F537
B75;1F538
B76;1F539
B05;2049
B06;203C
